2025-04-20 22:48:21 - INFO - ==== 回测日志系统初始化完成 ====
2025-04-20 22:48:56 - INFO - 已处理 209000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 210000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 211000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 212000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 213000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 214000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 215000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 216000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 217000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 218000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 219000/525600 条K线数据
2025-04-20 22:48:57 - INFO - 已处理 220000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 221000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 222000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 223000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 224000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 225000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 226000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 227000/525600 条K线数据
2025-04-20 22:48:58 - INFO - 已处理 228000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 229000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 230000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 231000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 232000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 233000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 234000/525600 条K线数据
2025-04-20 22:48:59 - INFO - 已处理 235000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 236000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 237000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 238000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 239000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 240000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 241000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 242000/525600 条K线数据
2025-04-20 22:49:00 - INFO - 已处理 243000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 244000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 245000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 246000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 247000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 248000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 249000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 250000/525600 条K线数据
2025-04-20 22:49:01 - INFO - 已处理 251000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 252000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 253000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 254000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 255000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 256000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 257000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 258000/525600 条K线数据
2025-04-20 22:49:02 - INFO - 已处理 259000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 260000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 261000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 262000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 263000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 264000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 265000/525600 条K线数据
2025-04-20 22:49:03 - INFO - 已处理 266000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 267000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 268000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 269000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 270000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 271000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 272000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 273000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 274000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 275000/525600 条K线数据
2025-04-20 22:49:04 - INFO - 已处理 276000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 277000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 278000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 279000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 280000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 281000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 282000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 283000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 284000/525600 条K线数据
2025-04-20 22:49:05 - INFO - 已处理 285000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 286000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 287000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 288000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 289000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 290000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 291000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 292000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 293000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 294000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 295000/525600 条K线数据
2025-04-20 22:49:06 - INFO - 已处理 296000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 297000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 298000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 299000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 300000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 301000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 302000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 303000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 304000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 305000/525600 条K线数据
2025-04-20 22:49:07 - INFO - 已处理 306000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 307000/525600 条K线数据
2025-04-20 22:49:08 - INFO - 已处理 308000/525600 条K线数据
